dept	gr	sp	cal	lld	msfl	lls	hac	den	cnl	rmn	rmg
1370.75	83.816	59.503	23.299	7.778	8.13301	7.511	241.044	2.485	20.994	10.247	10.503
1370.875	91.453	60.066	23.29	7.479	9.97999	7.311	260.873	2.463	21.202	7.50999	8.78099
1371	106.466	61.324	23.234	5.26399	5.96	5.406	293.742	2.428	22.028	4.815	5.276
1371.125	117.316	62.346	23.145	3.812	5.379	4.18	299.308	2.408	23.282	3.959	4.732
1371.25	130.909	63.926	22.957	2.531	3.87	2.853	341.865	2.39	26.186	2.591	3.191
1371.375	137.072	64.855	22.862	2.132	2.884	2.357	389.143	2.4	28.199	1.521	1.71
1371.5	142.396	65.898	22.808	1.897	2.976	2.03	350.045	2.443	29.223	1.564	1.741
1371.625	143.158	66.315	22.867	1.901	3.257	2.008	324.128	2.47	28.508	1.564	1.741
1371.75	141.423	66.545	23.013	2.228	4.588	2.301	300.034	2.483	27.05	1.949	2.496
1371.875	138.792	66.516	23.101	2.594	4.549	2.679	289.093	2.481	26.719	2.12	2.647
1372	133.969	66.32	23.162	2.946	3.909	3.1	292.289	2.478	26.843	2.89	3.1
1372.125	131.138	66.166	23.141	3.128	4.79	3.308	303.507	2.47	26.897	3.018	3.614
1372.25	127.654	65.939	23.073	3.377	3.885	3.591	297.284	2.446	26.477	2.462	2.617
1372.375	126.548	65.821	23.036	3.496	3.955	3.696	296.516	2.433	26.36	3.147	3.221
1372.5	126.8	65.697	23.001	3.368	4.402	3.595	278.825	2.429	27.517	4.9	5.85
1372.625	128.035	65.629	22.988	3.264	4.201	3.518	290.298	2.442	28.18	3.65999	4.55099
1372.75	133.04	65.536	22.973	3.217	4.177	3.492	308.764	2.472	27.994	2.762	2.919
1372.875	138.04	65.455	22.957	3.137	4.053	3.424	305.232	2.492	27.488	2.804	2.919
1373	144.491	65.267	22.927	2.863	4.05901	3.143	298.523	2.505	26.57	3.275	3.614
1373.125	145.542	65.039	22.903	2.964	6.35799	3.207	289.311	2.503	25.904	3.66	4.551
1373.25	139.047	64.542	22.9	3.588	4.111	3.76	294.643	2.49	25.849	3.361	3.191
1373.375	130.434	64.152	22.905	3.996	4.60401	4.131	282.731	2.482	26.232	4.43	4.249
1373.5	118.37	63.566	22.937	4.612	9.77699	4.601	269.901	2.473	25.442	5.457	5.941
1373.625	113.335	63.243	22.964	5.367	7.00399	5.156	276.028	2.469	24.46	4.858	5.064
1373.75	110.196	62.952	22.991	6.025	6.149	5.658	278.42	2.464	24.517	5.67	5.518
1373.875	110.824	62.956	22.995	5.679	6.103	5.436	272.82	2.46	25.281	5.542	5.971
1374	113.628	63.236	22.955	4.827	5.177	4.782	281.215	2.46	26.208	4.387	4.52
1374.125	115.865	63.54	22.914	4.318	5.186	4.37	280.151	2.458	26.404	4.558	4.792
1374.25	119.716	64.029	22.877	3.636	3.806	3.753	288.129	2.461	26.01	3.574	3.856
1374.375	121.153	64.297	22.885	3.465	3.649	3.582	291.13	2.471	25.528	3.104	3.221
1374.5	121.259	64.565	22.943	3.455	4.258	3.519	302.39	2.483	24.767	3.275	3.312
1374.625	121.834	64.635	22.986	3.592	4.576	3.59	295.713	2.481	24.824	3.446	3.463
1374.75	122.169	64.654	22.997	4.033	5.079	3.924	284.367	2.472	25.155	3.66	3.825
1374.875	122.308	64.655	22.967	4.186	5.58	4.055	282.013	2.472	25.061	3.361	3.402
1375	122.129	64.682	22.896	4.058	4.827	3.982	253.511	2.474	24.671	3.959	4.158
1375.125	120.134	64.718	22.857	3.842	5.426	3.824	270.368	2.475	24.652	3.703	3.886
1375.25	115.785	64.737	22.806	3.683	4.278	3.717	303.58	2.477	25.315	3.318	3.282
1375.375	112.733	64.721	22.799	3.787	3.658	3.804	300.86	2.477	26.038	4.002	4.03701
1375.5	109.928	64.649	22.813	4.258	5.792	4.165	258.531	2.475	26.927	4.259	4.43
1375.625	112.103	64.597	22.858	4.494	5.61201	4.328	264.142	2.472	26.864	5.029	4.94401
1375.75	121.295	64.553	23.043	4.372	6.66198	4.238	276.54	2.463	25.883	4.68699	5.60799
1375.875	128.652	64.554	23.235	4.087	4.344	4.035	298.216	2.455	25.718	3.189	3.554
1376	139.179	64.603	23.564	3.532	3.515	3.614	307.128	2.46	27.219	2.419	2.284
1376.125	144.285	64.621	23.709	3.177	3.646	3.31	293.877	2.469	28.075	2.462	2.284
1376.25	151.379	64.568	23.709	3.152	3.882	3.239	279.784	2.468	27.441	2.933	2.828
1376.375	158.185	64.449	23.58	3.496	4.03601	3.483	276.282	2.457	26.109	3.018	2.919
1376.5	171.853	64.202	23.281	3.913	6.38099	3.85	278.943	2.444	24.664	3.532	3.584
1376.625	182.703	64.048	23.121	4	4.833	3.947	277.984	2.439	24.413	4.002	3.946
1376.75	197.978	63.881	22.97	3.992	4.937	3.975	283.986	2.428	24.412	3.746	3.977
1376.875	205.549	63.828	22.91	3.875	4.614	3.885	287.218	2.422	24.713	3.617	3.735
1377	208.908	63.765	22.86	3.474	4.658	3.569	291.993	2.428	25.719	3.232	3.372
1377.125	204.336	63.671	22.841	3.288	4.577	3.398	286.393	2.441	26.292	3.147	3.282
1377.25	184.773	63.308	22.823	3.526	4.052	3.585	312.941	2.466	26.753	3.104	3.342
1377.375	164.778	62.895	22.855	3.752	3.678	3.762	309.142	2.479	27.423	3.275	3.07001
1377.5	135.534	62.079	22.95	4.132	5.506	4.036	251.63	2.477	29.348	5.2	6.001
1377.625	121.094	61.431	23.022	4.296	5.434	4.131	267.853	2.459	30.56	5.072	5.608
1377.75	110.318	60.266	23.129	4.639	5.543	4.375	280.977	2.428	30.136	5.457	5.971
1377.875	108.315	59.241	23.207	4.355	5.52699	4.185	289.17	2.413	28.531	4.98599	5.54799
1378	107.248	56.946	23.282	3.875	5.63401	3.821	287.553	2.413	25.249	4.302	4.49
1378.125	105.677	54.75	23.238	3.901	5.545	3.844	289.601	2.419	23.682	4.43	5.004
1378.25	100.679	50.454	22.98	4.453	4.449	4.275	277.007	2.401	24.071	3.917	3.916
1378.375	96.317	47.141	22.644	4.929	4.95501	4.664	271.427	2.365	25.764	4.815	4.279
1378.5	88.9	41.928	22.143	5.846	5.59701	5.289	284.729	2.305	28.263	5.927	4.49
1378.625	84.723	38.606	21.9	6.796	6.668	5.907	289.624	2.276	28.62	6.055	4.762
1378.75	81.18	34.438	21.717	7.428	6.641	6.454	289.718	2.254	27.311	5.97	4.732
1378.875	80.095	32.402	21.689	7.293	6.988	6.392	296.841	2.248	26.214	6.44	5.004
1379	79.547	30.4	21.665	7.199	6.89001	6.364	302.805	2.237	25.92	6.398	5.215
1379.125	79.586	29.521	21.648	7.173	7.68099	6.33	297.385	2.227	26.601	6.098	5.004
1379.25	79.539	28.641	21.623	7.477	6.51701	6.54	300.053	2.216	27.535	6.483	5.095
1379.375	80.039	28.313	21.624	7.866	8.859	6.75	297.149	2.208	27.465	6.227	5.095
1379.5	81.064	28.29	21.65	8.064	6.71701	6.824	310.086	2.189	26.708	6.44	5.125
1379.625	82.382	28.529	21.725	7.28	8.793	6.236	315.96	2.192	26.518	6.569	5.064
1379.75	85.748	28.951	21.87	6.509	8.552	5.721	308.517	2.24	27.037	6.013	4.823
1379.875	86.784	29.082	21.956	6.241	7.87399	5.595	296.546	2.274	27.633	5.371	4.641
1380	85.053	28.834	21.996	5.778	5.581	5.334	281.883	2.287	27.564	4.772	4.007
1380.125	81.065	28.339	21.905	5.97	6.37401	5.457	301.331	2.269	26.903	5.756	4.279
1380.25	74.577	27.124	21.754	7.45601	8.52899	6.312	300.253	2.225	26.577	6.098	4.792
1380.375	72.434	26.222	21.677	8.751	7.07202	7.431	307.301	2.199	27.312	6.78301	5.27601
1380.5	72.722	25.413	21.669	9.483	10.011	8.212	312.303	2.178	28.04	7.21	5.82
1380.625	74.825	25.638	21.716	9.372	10.059	8.217	314.219	2.179	27.737	7.082	5.608
1380.75	78.317	27.458	21.767	8.29	9.61699	7.343	309.706	2.208	27.127	6.612	5.246
1380.875	81.098	29.699	21.804	7.467	8.192	6.748	310.064	2.242	26.393	6.44	5.246
1381	87.772	34.532	21.953	6.592	6.836	5.973	296.469	2.287	25.186	5.585	4.853
1381.125	93.549	38.575	22.144	6.002	7.61	5.521	289.222	2.306	24.602	5.628	4.611
1381.25	103.8	45.226	22.552	4.831	7.072	4.616	294.783	2.333	25.372	5.328	4.641
1381.375	110.818	49.581	22.846	4.289	5.85199	4.162	304.26	2.351	26.575	4.34399	4.309
1381.5	118.607	55.337	23.134	3.463	3.382	3.463	355.713	2.373	27.553	2.548	2.496
1381.625	121.534	58.409	23.25	3.07	3.378	3.112	366.382	2.383	27.385	2.462	2.466
1381.75	121.296	61.623	23.329	2.955	3.477	2.961	329.313	2.393	26.429	2.505	2.375
1381.875	118.969	62.845	23.405	3.228	3.418	3.147	291.232	2.399	26.253	2.676	2.526
1382	113.671	63.73	23.608	3.693	4.781	3.502	226.089	2.416	26.739	3.66	3.614
1382.125	110.478	63.987	23.735	3.831	4.868	3.632	257.826	2.436	27.056	3.959	4.128
1382.25	111.249	64.24	23.778	3.737	4.092	3.608	293.946	2.455	27.386	3.104	3.1
1382.375	114.509	64.332	23.673	3.417	3.71	3.395	323.754	2.449	27.267	2.591	2.556
1382.5	118.965	64.217	23.463	2.891	3.452	2.958	374.319	2.429	26.931	2.291	2.315
1382.625	119.118	63.825	23.399	2.817	3.371	2.9	361.388	2.432	27.113	2.334	2.405
1382.75	112.238	62.769	23.506	3.238	3.379	3.239	287.959	2.461	27.522	2.591	2.587
1382.875	105.903	61.97	23.695	3.814	3.922	3.694	218.93	2.472	26.746	3.232	3.07
1383	99.959	61.08	23.851	4.656	4.662	4.331	253.181	2.45	24.045	4.173	3.402
1383.125	99.492	60.857	23.863	4.921	4.9	4.526	273.31	2.423	22.845	4.344	3.372
1383.25	104.41	61.107	23.661	4.463	4.945	4.185	293.752	2.399	23.119	3.27499	3.221
