dept	den	cnl
1836.375	2.56828	28.6556
1836.5	2.56574	27.053
1836.625	2.57113	25.3504
1836.75	2.568	23.7239
1836.875	2.571	23.1227
1837	2.573	23.3786
1837.125	2.5729	24.3698
1837.25	2.57391	25.5812
1837.375	2.57691	26.3912
1837.5	2.57992	26.5919
1837.625	2.58192	26.8
1837.75	2.58007	27.3863
1837.875	2.57706	28.8689
1838	2.575	30.8777
1838.125	2.5759	32.6
1838.25	2.58296	32.7
1838.375	2.58993	30.822
1838.5	2.59794	27.2333
1838.625	2.60398	22.7262
1838.75	2.60602	18.6087
1838.875	2.60201	16.4989
1839	2.599	17.4981
1839.125	2.594	19.7983
1839.25	2.587	24.0049
1839.375	2.59001	28.0034
1839.5	2.593	29.3035
1839.625	2.59502	28.8952
1839.75	2.596	27.4878
1839.875	2.59296	25.9889
1840	2.58787	25
1840.125	2.5779	25.2149
1840.25	2.56783	27.0225
1840.375	2.56806	29.0313
1840.5	2.57207	30.9345
1840.625	2.57385	32.7377
1840.75	2.56692	34.7164
1840.875	2.55991	35.6176
1841	2.55791	36.0095
1841.125	2.5591	35.7899
1841.25	2.56211	34.9678
1841.375	2.565	33.5544
1841.5	2.564	31.7399
1841.625	2.564	29.424
1841.75	2.56087	28.4734
1841.875	2.55914	27.4442
1842	2.56344	26.2854
1842.125	2.5743	25.7848
1842.25	2.58432	25.2841
1842.375	2.59233	25.1
1842.5	2.59717	25.4172
1842.625	2.601	26.0178
1842.75	2.60418	26.6369
1842.875	2.60662	27.3
1843	2.59421	27.4197
1843.125	2.58759	27.8407
1843.25	2.58058	28.342
